;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
11890;imbue;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11891;illogical;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11892;ride;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11893;transplantlines;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11894;disappointingly;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11895;ags;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11896;elucidation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11897;crx.gfp;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11898;haemophilia;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11899;municipal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11900;nrl.gfp;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11901;replicability;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11902;multiplicitous;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11903;hype;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11904;printing;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11905;athough;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11906;fruit;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11907;5197;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11908;9102;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11909;contextually;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11910;literacy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11911;unnecessarily;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11912;2.29;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11913;57.9;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11914;selfish;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11915;antonio;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11916;nanog;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11917;multihospital;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11918;murine;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11919;time-;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11920;screener;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11921;educator;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11922;ulterior;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11923;ease;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11924;normalized;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11925;loved;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11926;cautiousness;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11927;jce;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11928;weighting;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11929;multipotent;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11930;generalizability;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11931;photoreceptor;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11932;primetime;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11933;resampling;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11934;sox2;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11935;2.49;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11936;immunosup;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11937;tll1;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11938;563;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11939;the'rolls;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11940;empathize;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11941;royce;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11942;impractical;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11943;desensitize;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11944;pression;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11945;11-month;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11946;inhalation;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11947;patible;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11948;incom;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11949;disquiet;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11950;lhx2;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11951;097;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11952;5925;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11953;yardstick;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11954;joinpoint;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
11955;extinct;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11956;trail;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11957;undiagnosed;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11958;blaze;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11959;functionally;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11960;nontherapeutic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11961;nontreatable;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11962;neutralize;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11963;patently;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11964;0.032;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11965;99m)tc](h(2)o)3(co)(3)(+;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11966;1799;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11967;incubate;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11968;1079;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11969;"1996;15";0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11970;radiotherapeutic;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11971;pubertal;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11972;polyhedron;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11973;cutting;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11974;orifice;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11975;uneventfully;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11976;480;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11977;bridged;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11978;unfold;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11979;situatedness;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11980;traumatize;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11981;enjoyment;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11982;1272;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11983;cytotoxic;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11984;overwhelm;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11985;strived;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11986;helplessness;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11987;8-week;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
11988;disillusionment;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11989;actualization;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11990;mindset;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11991;judicial;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11992;interrelated;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11993;spectator;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11994;impartial;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11995;maximin;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11996;determinative;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11997;reap;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11998;abet;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
11999;inextricably;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12000;stapler;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12001;bifurcation;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12002;meticulously;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12003;dialyse;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12004;1364;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12005;but)(3)(co)(3)](no(3;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12006;2990;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12007;2508;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12008;3197;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12009;tc(cn;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12010;3122;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12011;2747;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12012;net(4))[mx(3)(co)(3;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12013;2280;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12014;406;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12015;390;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12016;809;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12017;456;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12018;4339;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12019;morrissey;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12020;homage;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12021;untreated;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12022;4483;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12023;125;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12024;cusa;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12025;pathophysiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12026;aspirator;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12027;cavitron;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12028;scalpel;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12029;sch(2)ch(2)oh)(3)(co)(3;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12030;parenchyma;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12031;40-year;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12032;net(4))[tc(2)(mu;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12033;achille;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12034;heel;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12035;381;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12036;upkeep;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12037;modernization;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12038;counterpoint;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12039;pity;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12040;deed;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12041;repay;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12042;invalid;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12043;anaemia;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12044;1138;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12045;varix;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12046;grounding;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12047;infringement;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12048;byrne;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12049;collate;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12050;concise;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12051;insightful;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12052;postinduction;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12053;w.;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12054;evans;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12055;nucleate;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12056;nucleated;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12057;slight;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12058;neutrophilic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12059;granulocytic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12060;monocytic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12061;n=8;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12062;balb;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12063;hydroxyethyl;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12064;proximate;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12065;hypertonic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12066;seronegative;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12067;seminar;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12068;femur;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12069;ts;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12070;0.0005;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12071;nontraditional;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12072;rhode;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12073;17.2;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12074;iugr;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12075;30.0;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12076;6/20;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12077;41/66;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12078;cd19/21;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12079;bulk;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12080;unworthy;0;0;0;0;1;0;0;0;0;0;0;1;0;0.3;0.09;1
12081;cd4/8;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12082;40,393;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12083;saddle;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12084;be;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12085;progesterone;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12086;trophoblast;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12087;peribronchial;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12088;nigerian;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12089;verse;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12090;premenopausal;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12091;death.there;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12092;radiochemical;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12093;litre;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12094;consisting;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12095;radiolabele;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12096;153;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12097;dependant;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12098;incurably;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12099;imagination;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12100;extraordinarily;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12101;isrctn10199225;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12102;leichtman;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12103;attainable;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12104;streamlined;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12105;prehospital;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12106;isrctn15821205;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12107;2561;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12108;pack;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12109;2568;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12110;ws/1160;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12111;advisability;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12112;aphallic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12113;tetanus;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12114;phallus;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12115;publically;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12116;underground;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12117;sovereignty;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12118;pathologic;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12119;reticuloendothelial;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12120;hyperimmunisation;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12121;antisera;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12122;venom;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12123;boost;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12124;snake;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12125;immunomodulating;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12126;biosensor;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12127;fluorescent;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12128;isotope;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12129;hepatobiliary;0;1;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12130;molecule;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12131;immunodiagnostic;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12132;17.6-month;0;0;1;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12133;1.92;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12134;excluded.high;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
12135;accustomed;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12136;luxembourg;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12137;iceland;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12138;binding;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12139;entirety;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12140;fend;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12141;lucky;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12142;enigma;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12143;72.2;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12144;adhikary;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12145;aggarwal;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12146;unfamiliar;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12147;unconvince;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12148;intolerable;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12149;usability;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12150;cvp;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12151;4.07;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12152;grounded;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12153;56.0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12154;60.5;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12155;preload;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12156;42.3;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12157;93.3;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12158;t2-;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12159;tonometric;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12160;30th;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12161;co2;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12162;proscribe;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12163;notoriously;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12164;preface;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12165;crd42015024648;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12166;individualise;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12167;fingolimod;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12168;obfuscation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12169;90th;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12170;3-week;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12171;-5.8;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12172;17.1;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12173;31-item;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12174;0.037;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12175;-4;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12176;latino;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12177;19.1;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12178;congratulate;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12179;architect;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12180;indisputable;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12181;prolongation;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12182;resuscitative;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12183;6.07;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12184;jeopardy;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12185;"neutral""-by";0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12186;methamphetamine;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12187;unwise;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12188;censorship;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12189;transgressive;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12190;organic;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12191;1933;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12192;adopter;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12193;closing;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12194;1992;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12195;3.83;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12196;routinization;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12197;1,120;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12198;4,644;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12199;intensivists;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12200;extraneous;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12201;elegant;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12202;ethicalframework;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12203;lean;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12204;outlandish;0;0;0;1;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12205;34.1;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12206;paop;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
12207;paramedic;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
12208;vascular-;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
